snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,Classification Comment,Host Redshift,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,Galaxy Host Name,discovery date,first obs date,Class Group,Comment,set date,estimated peak,Days since Peak,link
2021knh,18.445,0.03,g-ZTF,FINISHED,spec ia,YES,40,137.5359706,-27.62405638,,,-,99,618,ZTF,,,,Elliptical,-,2021-04-25 4:04:12,2021-04-28,?,,,,,
2021ksm,19.077,0.08,,ABANDON,spec ia,NO,7,173.74497,20.63678,,,-,,614,ATLAS,,,,Elliptical?,-,2021-04-29 9:08:38,2021-05-02,?,,,,,
2021kpu,19.048,0.069,orange-ATLAS,FINISHED,spec ia,NO,20,231.09059,22.42031,,,-,99,613,ATLAS,,583.2021kpu.a,,Elliptical,-,2021-04-29 12:33:07,2021-05-02,ZTF,,,,,
2021koq,17.84,0.020538,orange-ATLAS,FINISHED,spec ia,NO,17,274.0042325,6.7517646,,,-,99,618,ATLAS,,,,Elliptical,-,2021-04-25 7:27:56,2021-05-01,?,,,,,
2021koj,18.053,0.014303,,ABANDON,SN II,NO,58,125.392975,-13.3523417,,,-,,615,ATLAS,,415.A.2021koj,,Elliptical,-,2021-04-28 5:57:07,2021-04-28,Global SN Project,,,,,
2021kvp,17,,,ABANDON,?,NO,,99.9698792,-54.6513694,,,0.035111,,611,ASAS-SN,,,,?,WISEA J063952.03-543901.3,2021-05-01 18:57:36,,?,,,,,
2021kom,17.978,0.04505,orange-ATLAS,FINISHED,spec ia,NO,17,156.2094917,3.562125,,,-,99,615,ATLAS,,,,Elliptical?,,2021-04-28 8:51:22,2021-05-05,SCAT,,,,,
2021kly,18.8382,0.04423,r-ZTF,FINISHED,spec ia,NO,54,126.2581417,13.5348083,,,0.04420635,99,619,ZTF,,,,Spiral,SDSS J082501.33+133213.5,2021-04-24 4:11:40,2021-05-05,ZTF,,,,,
2021kut,19.4724,0.0313620009,r-ZTF,FINISHED,spec ia,NO,57,157.8740542,6.2426417,,,0.031362,99,612,ZTF,,468.F.2021jut,,Spiral,2MASX J10312956+0614383,2021-05-01 4:05:46,2021-05-05,ZTF,,,,,
2021law,19.746,0.057679,r-ZTF,FINISHED,spec ia,YES,54,141.0346583,3.9352694,,,0.0576505,99,611,ZTF,,,,Elliptical,SDSS J092408.53+035605.5,2021-05-02 5:00:23,2021-05-05,?,,,,,
